,t,s
0,0.0,0.0
1,0.001,0.015963999999833334
2,0.002,0.031671924795587836
3,0.003,0.04713912904007072
4,0.004,0.0623805360762723
5,0.005,0.07741065470590822
6,0.006,0.09224359542802986
7,0.007,0.10689308615893364
8,0.008,0.12137248744473474
9,0.009000000000000001,0.13569480717802562
10,0.01,0.14987271483002473
11,0.011,0.16391855520954282
12,0.012,0.17784436175996327
13,0.013000000000000001,0.19166186940525157
14,0.014,0.20538252695578713
15,0.015,0.21901750908454992
16,0.016,0.2325777278839009
17,0.017,0.24607384401287324
18,0.018000000000000002,0.2595162774445421
19,0.019,0.2729152178226698
20,0.02,0.28628063443643154
21,0.021,0.29962228582161654
22,0.022,0.31294972899627355
23,0.023,0.326272328338328
24,0.024,0.339599264112245
25,0.025,0.35293954065134325
26,0.026000000000000002,0.3663019942018902
27,0.027,0.3796953004346162
28,0.028,0.3931279816287892
29,0.029,0.40660841353348254
30,0.03,0.42014483191014806
31,0.031,0.43374533876008387
32,0.032,0.4474179082398455
33,0.033,0.4611703922671073
34,0.034,0.47501052581892517
35,0.035,0.4889459319237878
36,0.036000000000000004,0.502984126348274
37,0.037,0.5171325219785469
38,0.038,0.5313984328963305
39,0.039,0.5457890781484065
40,0.04,0.5603115852080648
41,0.041,0.5749729931263137
42,0.042,0.5897802553700324
43,0.043000000000000003,0.6047402423435995
44,0.044,0.6198597435898868
45,0.045,0.6351454696658436
46,0.046,0.650604053687226
47,0.047,0.6662420525363458
48,0.048,0.682065947726027
49,0.049,0.6980821459122538
50,0.05,0.7142969790472959
51,0.051000000000000004,0.73071670416438
52,0.052000000000000005,0.747347502784257
53,0.053,0.7641954799332982
54,0.054,0.7812666627620195
55,0.055,0.798566998752214
56,0.056,0.8161023535001439
57,0.057,0.8338785080625202
58,0.058,0.8519011558512896
59,0.059000000000000004,0.8701758990625362
60,0.06,0.8887082446241196
61,0.061,0.9075035996459948
62,0.062,0.9265672663565132
63,0.063,0.945904436507377
64,0.064,0.9655201852293358
65,0.065,0.985419464320166
