t,Vout
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,1E-08
0.15,1E-08
0.16,1E-08
0.17,1E-08
0.18,2E-08
0.19,2E-08
0.2,3E-08
0.21,5E-08
0.22,6E-08
0.23,9E-08
0.24,1.2E-07
0.25,1.6E-07
0.26,2.2E-07
0.27,3E-07
0.28,4.1E-07
0.29,5.5E-07
0.3,7.4E-07
0.31,9.9E-07
0.32,1.31E-06
0.33,1.74E-06
0.34,2.3E-06
0.35,3.03E-06
0.36,3.97E-06
0.37,5.19E-06
0.38,6.76E-06
0.39,8.77E-06
0.4,1.133E-05
0.41,1.458E-05
0.42,1.869E-05
0.43,2.387E-05
0.44,3.038E-05
0.45,3.851E-05
0.46,4.863E-05
0.47,6.118E-05
0.48,7.668E-05
0.49,9.575E-05
0.5,0.00011911
0.51,0.00014762
0.52,0.00018226
0.53,0.00022419
0.54,0.00027474
0.55,0.00033544
0.56,0.00040804
0.57,0.0004945
0.58,0.00059708
0.59,0.00071827
0.6,0.00086089
0.61,0.00102805
0.62,0.00122318
0.63,0.00145005
0.64,0.00171273
0.65,0.00201568
0.66,0.00236365
0.67,0.0027617
0.68,0.00321521
0.69,0.00372982
0.7,0.00431138
0.71,0.00496594
0.72,0.00569968
0.73,0.00651882
0.74,0.00742959
0.75,0.0084381
0.76,0.00955028
0.77,0.01077178
0.78,0.01210785
0.79,0.01356323
0.8,0.01514206
0.81,0.01684775
0.82,0.01868287
0.83,0.02064908
0.84,0.02274698
0.85,0.02497605
0.86,0.0273346
0.87,0.02981966
0.88,0.03242697
0.89,0.03515095
0.9,0.03798471
0.91,0.04092002
0.92,0.04394742
0.93,0.04705623
0.94,0.05023467
0.95,0.05346993
0.96,0.05674833
0.97,0.06005548
0.98,0.06337638
0.99,0.06669563
1,0.06999764
1.01,0.07326676
1.02,0.07648749
1.03,0.07964471
1.04,0.08272378
1.05,0.0857108
1.06,0.0885927
1.07,0.09135741
1.08,0.09399402
1.09,0.09649283
1.1,0.09884545
1.11,0.1010449
1.12,0.10308559
1.13,0.10496337
1.14,0.10667552
1.15,0.1082207
1.16,0.10959891
1.17,0.11081145
1.18,0.11186077
1.19,0.11275045
1.2,0.11348503
1.21,0.11406994
1.22,0.11451132
1.23,0.11481599
1.24,0.11499124
1.25,0.11504475
1.26,0.11498447
1.27,0.11481852
1.28,0.11455506
1.29,0.11420224
1.3,0.11376808
1.31,0.11326042
1.32,0.11268685
1.33,0.11205469
1.34,0.11137089
1.35,0.11064206
1.36,0.10987444
1.37,0.10907384
1.38,0.10824573
1.39,0.10739514
1.4,0.10652675
1.41,0.10564487
1.42,0.10475347
1.43,0.10385621
1.44,0.10295643
1.45,0.10205722
1.46,0.10116144
1.47,0.10027171
1.48,0.0993905
1.49,0.0985201
1.5,0.09766267
1.51,0.09682028
1.52,0.0959949
1.53,0.09518843
1.54,0.09440274
1.55,0.09363965
1.56,0.09290098
1.57,0.09218851
1.58,0.09150405
1.59,0.0908494
1.6,0.09022637
1.61,0.08963677
1.62,0.08908242
1.63,0.08856515
1.64,0.08808676
1.65,0.08764907
1.66,0.08725385
1.67,0.08690284
1.68,0.08659773
1.69,0.08634016
1.7,0.08613167
1.71,0.08597372
1.72,0.08586762
1.73,0.08581459
1.74,0.08581565
1.75,0.08587169
1.76,0.08598338
1.77,0.08615118
1.78,0.08637534
1.79,0.08665584
1.8,0.08699244
1.81,0.08738458
1.82,0.08783145
1.83,0.08833195
1.84,0.08888466
1.85,0.08948786
1.86,0.09013955
1.87,0.09083741
1.88,0.09157883
1.89,0.0923609
1.9,0.09318045
1.91,0.09403403
1.92,0.09491798
1.93,0.09582836
1.94,0.09676109
1.95,0.09771186
1.96,0.09867625
1.97,0.0996497
1.98,0.10062758
1.99,0.10160518
2,0.10257779
2.01,0.10354072
2.02,0.1044893
2.03,0.10541896
2.04,0.10632524
2.05,0.10720382
2.06,0.10805056
2.07,0.10886152
2.08,0.109633
2.09,0.11036155
2.1,0.11104398
2.11,0.11167741
2.12,0.11225926
2.13,0.11278727
2.14,0.11325953
2.15,0.11367441
2.16,0.11403068
2.17,0.11432739
2.18,0.11456395
2.19,0.11474009
2.2,0.11485583
2.21,0.11491152
2.22,0.11490778
2.23,0.11484549
2.24,0.11472579
2.25,0.11455004
2.26,0.11431983
2.27,0.11403691
2.28,0.11370321
2.29,0.1133208
2.3,0.11289187
2.31,0.11241869
2.32,0.11190364
2.33,0.11134911
2.34,0.11075757
2.35,0.11013146
2.36,0.10947326
2.37,0.1087854
2.38,0.1080703
2.39,0.10733031
2.4,0.10656773
2.41,0.1057848
2.42,0.10498368
2.43,0.10416643
2.44,0.10333503
2.45,0.10249136
2.46,0.10163721
2.47,0.10077425
2.48,0.09990406
2.49,0.09902811
2.5,0.09814778
2.51,0.09726434
2.52,0.09637897
2.53,0.09549274
2.54,0.09460664
2.55,0.09372158
2.56,0.09283837
2.57,0.09195774
2.58,0.09108036
2.59,0.09020683
2.6,0.08933767
2.61,0.08847335
2.62,0.08761428
2.63,0.08676082
2.64,0.08591329
2.65,0.08507195
2.66,0.08423702
2.67,0.08340872
2.68,0.08258719
2.69,0.08177257
2.7,0.08096496
2.71,0.08016446
2.72,0.07937113
2.73,0.078585
2.74,0.07780611
2.75,0.07703448
2.76,0.0762701
2.77,0.07551298
2.78,0.07476309
2.79,0.0740204
2.8,0.0732849
2.81,0.07255654
2.82,0.07183528
2.83,0.07112107
2.84,0.07041387
2.85,0.06971362
2.86,0.06902026
2.87,0.06833375
2.88,0.06765402
2.89,0.06698102
2.9,0.06631468
2.91,0.06565495
2.92,0.06500176
2.93,0.06435505
2.94,0.06371476
2.95,0.06308083
2.96,0.0624532
2.97,0.06183181
2.98,0.0612166
2.99,0.0606075
3,0.06000446
3.01,0.05940741
3.02,0.05881631
3.03,0.05823108
3.04,0.05765168
3.05,0.05707804
3.06,0.05651011
3.07,0.05594782
3.08,0.05539114
3.09,0.05483999
3.1,0.05429432
3.11,0.05375408
3.12,0.05321922
3.13,0.05268968
3.14,0.05216541
3.15,0.05164636
3.16,0.05113247
3.17,0.05062369
3.18,0.05011998
3.19,0.04962128
3.2,0.04912754
3.21,0.04863871
3.22,0.04815475
3.23,0.0476756
3.24,0.04720122
3.25,0.04673156
3.26,0.04626657
3.27,0.04580621
3.28,0.04535043
3.29,0.04489919
3.3,0.04445243
3.31,0.04401012
3.32,0.04357222
3.33,0.04313867
3.34,0.04270943
3.35,0.04228446
3.36,0.04186373
3.37,0.04144717
3.38,0.04103477
3.39,0.04062646
3.4,0.04022222
3.41,0.03982201
3.42,0.03942577
3.43,0.03903348
3.44,0.03864509
3.45,0.03826056
3.46,0.03787986
3.47,0.03750295
3.48,0.03712979
3.49,0.03676035
3.5,0.03639457
3.51,0.03603244
3.52,0.03567391
3.53,0.03531895
3.54,0.03496752
3.55,0.03461959
3.56,0.03427512
3.57,0.03393408
3.58,0.03359643
3.59,0.03326214
3.6,0.03293117
3.61,0.0326035
3.62,0.03227909
3.63,0.03195791
3.64,0.03163992
3.65,0.0313251
3.66,0.03101341
3.67,0.03070482
3.68,0.0303993
3.69,0.03009683
3.7,0.02979736
3.71,0.02950087
3.72,0.02920733
3.73,0.02891671
3.74,0.02862899
3.75,0.02834412
3.76,0.02806209
3.77,0.02778287
